  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024-01-21, 10:21:30,  +00:00,       ,   47.3818092,    9.6982975,  1302.3, 30.42,  1346.4,   1.8,   0.00,   0.00,    8.05,   1.26,   1.31,  -0.02,   0.01,  36.9, 356.4,  28.0,  28.0,   3.2,   0.5,  20.15,  20.83,     2.57,  136.95,   59.94, 1130.4,  190.18,  184.80,  199.63,  202.43, 1050.68, 1073.85, 1044.46, 1058.76,  1503.5,   0,  GPS,  303.3, 111.10, 112.60, 121.205, 118.855,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,  -0.9,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:30,  +00:00,       ,   47.3818092,    9.6982975,  1302.3, 30.42,  1346.4,   1.8,   0.00,   0.00,    8.05,   1.26,   1.31,  -0.02,   0.01,  36.9, 356.4,  28.0,  28.0,   3.2,   0.5,  20.15,  20.83,     2.57,  136.95,   59.94, 1130.4,  190.18,  184.80,  199.63,  202.43, 1050.68, 1073.85, 1044.46, 1058.76,  1503.5,   0,  GPS,  303.3, 111.10, 112.60, 121.205, 118.855,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,  -0.9,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:33,  +00:00,       ,   47.3818092,    9.6982985,  1302.3, 30.42,  1346.1,   1.5,   0.00,   0.00,   14.78,   1.26,   1.32,  -0.02,   0.00,  37.0, 356.4,  28.0,  28.0,   3.2,   0.5,  20.16,  20.83,     2.34,  136.89,   59.92, 1128.8,  190.82,  185.38,  200.15,  203.00, 1054.47, 1076.46, 1048.60, 1059.89,  1503.2,   0,  GPS,  303.3, 111.10, 112.60, 121.205, 118.855,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,  -0.6,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:33,  +00:00,       ,   47.3818092,    9.6982985,  1301.3, 30.42,  1345.8,   1.5,   0.00,   0.00,   -6.00,   1.26,   1.32,  -0.01,   0.02,  37.0, 356.4,  28.0,  28.0,   3.2,   0.5,  20.15,  20.83,     2.33,  136.85,   59.95, 1128.0,  191.27,  185.80,  200.57,  203.49, 1057.14, 1078.17, 1049.15, 1060.88,  1502.9,   0,  GPS,  303.3, 111.10, 112.60, 121.205, 118.855,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,  -0.6,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:34,  +00:00,       ,   47.3818092,    9.6982994,  1301.3, 30.42,  1345.7,   1.5,   0.00,   0.00,  -18.53,   1.25,   1.30,  -0.02,   0.00,  36.9, 356.4,  28.0,  28.0,   3.1,   0.5,  20.10,  20.83,     2.36,  136.82,   59.98, 1127.8,  191.73,  186.23,  201.00,  203.94, 1062.13, 1078.47, 1049.75, 1062.05,  1502.8,   0,  GPS,  303.3, 111.10, 112.60, 121.205, 118.855,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   1.5,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:35,  +00:00,       ,   47.3818092,    9.6982985,  1301.3, 30.42,  1344.6,   1.5,   0.00,   0.00,  -16.47,   1.25,   1.34,  -0.02,  -0.01,  36.9, 356.4,  28.0,  28.0,   3.1,   0.5,  20.05,  20.82,     2.31,  136.78,   59.88, 1127.4,  191.92,  186.38,  201.17,  204.14, 1064.47, 1079.00, 1049.77, 1062.59,  1501.7,   0,  GPS,  303.3, 111.10, 112.60, 121.205, 118.855,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,  -1.1,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:36,  +00:00,       ,   47.3818092,    9.6982975,  1303.3, 30.42,  1344.0,   1.5,   0.00,   0.00,   18.79,   1.30,   1.33,  -0.01,   0.04,  37.0, 356.4,  28.0,  28.0,   3.2,   0.5,  20.05,  20.85,     2.27,  136.74,   60.07, 1132.4,  191.68,  186.08,  200.90,  203.92, 1064.65, 1079.03, 1050.04, 1063.42,  1501.1,   0,  GPS,  303.3, 111.10, 112.60, 121.205, 118.855,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   4.0,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:37,  +00:00,       ,   47.3818092,    9.6982975,  1303.3, 30.42,  1343.4,   1.5,   0.00,   0.00,   35.95,   1.27,   1.35,  -0.02,   0.00,  37.0, 356.4,  28.0,  28.0,   3.0,   0.5,  20.05,  20.83,     2.34,  136.70,   60.03, 1132.5,  192.09,  186.46,  201.24,  204.30, 1063.97, 1078.58, 1050.64, 1065.53,  1500.5,   0,  GPS,  303.3, 111.10, 112.60, 121.205, 118.855,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,  -2.8,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:38,  +00:00,       ,   47.3818092,    9.6982975,  1301.3, 30.42,  1343.0,   1.5,   0.00,   0.00,    1.37,   1.26,   1.33,  -0.03,  -0.02,  36.9, 356.4,  28.0,  28.0,   3.0,   0.5,  20.04,  20.81,     2.30,  136.65,   60.12, 1135.4,  192.46,  186.78,  201.54,  204.64, 1062.65, 1079.65, 1052.52, 1066.91,  1500.1,   0,  GPS,  303.3, 111.10, 112.60, 121.205, 118.855,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   0.2,     3D, 3704,      ,       ,      ,       
2024-01-21, 10:21:39,  +00:00,       ,   47.3818054,    9.6982975,  1301.3, 30.42,  1343.1,   1.5,   0.00,   0.00,  -15.23,   1.30,   1.35,  -0.03,   0.02,  36.9, 356.4,  28.0,  28.0,   3.0,   0.5,  20.06,  20.81,     2.32,  136.61,   60.08, 1137.0,  192.86,  187.13,  201.92,  205.06, 1061.55, 1081.68, 1053.64, 1068.10,  1500.1,   0,  GPS,  303.3, 111.10, 112.60, 121.205, 118.855,       ,       ,       ,      ,       ,       ,    3.6,       ,      ,       ,      ,      ,   1.3,     3D, 3704,      ,       ,      ,       
